Sample,n16S.mean,n16S.sd,nge.mean,nge.sd,ncds.mean,ncds.sd,genome_size.mean,genome_size.sd,GC.mean,GC.sd,phi.mean,phi.sd,confidence.mean,confidence.sd
171118_5,1.708279709,0.946735055,1.900957342,1.67193957,2939.985993,1719.121187,3329404.357,2121327.296,47.05997751,14.10503099,0.428957079,0.110147537,0.500210289,0.14961745
171121_9,1.728327227,0.9486549,1.878859329,1.464045322,2955.06559,1766.996875,3385383.637,2260030.699,46.27216911,15.46254418,0.453818577,0.120797003,0.494053614,0.142393872
171120_8,1.649508916,0.970902902,1.627384633,1.379506613,2877.965297,1620.029071,3258467.539,2035417.612,47.05106056,14.21581089,0.432173315,0.100717514,0.506937347,0.139678644
171124_6,1.506756251,0.881549944,1.480405703,1.251400118,2641.557035,1712.707044,3038960.638,2239691.743,45.37499861,13.85900554,0.451002192,0.094466214,0.506053272,0.123525436
171125_22,1.414567417,0.8546341,1.431040728,1.047817199,2775.683022,1582.46573,3097234.278,1899784.157,47.97644475,13.87599913,0.459781553,0.083256008,0.513953728,0.110607353
171116_9,1.677003965,0.848220867,1.665575778,1.290078269,2783.999743,1478.646577,3159077.199,1881818.761,48.24805347,14.67849757,0.430607406,0.121780832,0.482930333,0.15233971
171125_12,1.386861162,0.816145571,1.333724462,0.919352108,2564.118928,1476.301164,2864791.83,1803495.691,47.34312643,13.65811433,0.454670308,0.090534724,0.510037353,0.117541917
171116_4,1.715979658,0.87881766,1.742881209,1.451807076,2865.277718,1454.168693,3241472.193,1839223.141,49.12059397,13.16071117,0.422907039,0.114843188,0.49108553,0.155036024
171124_2,1.468302952,0.873622791,1.406051649,1.138239579,2640.402022,1671.974424,3012463.606,2156861.402,46.06622337,14.07700128,0.454613166,0.093603993,0.502745721,0.121100655
171120_5,1.460077258,1.013801379,1.498845381,1.265340884,2644.762471,1745.142312,2966389.736,2103615.334,44.20555688,14.14586164,0.46756025,0.085674548,0.495778401,0.102566731
171124_8,1.868389815,0.943960325,1.698065984,1.319710319,3192.978989,1651.644995,3762432.843,2283229.698,48.82115622,12.64182562,0.417554837,0.106166624,0.50041306,0.153686135
171126_2,1.610389098,0.888287038,1.312458429,1.074007533,2382.251535,1151.15008,2534640.628,1399684.805,46.83771391,14.71253532,0.450657093,0.088909853,0.505514141,0.122808131
171117_12,2.015023104,1.25854713,2.159938408,2.299184542,3280.324467,2320.292886,3817200.252,2932671.849,46.94575544,12.81845087,0.421107087,0.121909324,0.472190929,0.157387399
171122_6,1.723664183,0.957892731,1.919197846,1.50052801,2999.630957,1676.69183,3392579.769,2105306.471,47.29827971,15.71900184,0.449054478,0.121134662,0.493614251,0.14683104
171126_1,1.632666876,1.001357909,1.297133548,1.045125085,2356.780413,1120.478933,2506973.174,1358323.451,45.53500147,14.61941174,0.445716667,0.085413236,0.50220639,0.123651684
171118_11,1.714921436,0.923461391,1.748987083,1.530608923,2796.398026,1590.848089,3149176.867,1976400.277,47.86033322,14.23667859,0.434151664,0.111930626,0.497385539,0.145989665
171121_8,1.718754302,0.930721681,1.88437041,1.464304337,2972.030289,1743.277129,3412008.575,2263403.667,46.87226046,15.12393677,0.45130671,0.114729837,0.499117103,0.138940351
171117_15,1.857826777,1.061946855,1.942331628,1.847288009,3137.933675,1853.197436,3621586.918,2329319.448,47.98785827,12.58662275,0.415658699,0.116701089,0.489311548,0.161827145
171122_1,1.669965755,0.980601681,1.974948949,1.633057859,2965.710238,1709.699843,3342854.595,2116458.772,46.41846209,15.32626129,0.446686033,0.114745447,0.488974253,0.140680028
171122_11,1.641036844,0.894631298,1.726200791,1.346532987,2714.230942,1631.780842,3052556.56,2032628.989,45.09128653,16.2446777,0.457742306,0.128678237,0.486289702,0.14888995
171126_7,1.682681321,1.01868171,1.511151957,1.311796192,2658.854167,1360.139408,2884921.248,1646765.854,48.0552318,14.26743432,0.442647123,0.095390872,0.507815471,0.132708589
171119_2,1.545817931,0.906893497,1.629874405,1.352784626,2665.591968,1692.855577,3013545.834,2103690.499,44.17460368,14.09243013,0.444911313,0.109473874,0.490450197,0.133413702
171125_9,1.491253215,0.913323154,1.384356884,1.044560775,2586.978048,1462.416884,2947772.766,1879173.668,48.09913554,13.10228199,0.429529108,0.108982517,0.495572259,0.146061502
171121_2,1.764434966,0.980350454,1.868826966,1.538587541,2954.976536,1853.056205,3416577.207,2394895.321,45.17663346,15.05139333,0.444656717,0.121846955,0.497148745,0.148534139
171122_5,1.70735238,0.918899495,1.850327266,1.487112964,2941.773985,1679.895305,3332836.736,2137300.535,46.80418307,15.38076141,0.443157211,0.119939792,0.49412061,0.147679757
171119_8,1.656580123,0.891289125,1.827453468,1.469829897,2959.91623,1759.558636,3433931.848,2325074.776,46.51670162,13.54456691,0.443319286,0.107379612,0.494163487,0.13032559
171116_12,1.679942289,0.921549354,1.655790741,1.301314675,2830.252516,1536.605004,3221500.428,2001279.752,48.32217559,14.55953588,0.433490822,0.114926083,0.487207069,0.146075446
171119_12,1.716526828,0.842337228,1.706508716,1.270485309,3105.087993,1813.406782,3751147.56,2623120.116,45.87620654,12.87699024,0.427924036,0.115103846,0.485819271,0.145715626
171125_17,1.372357951,0.788220323,1.357592093,0.957531818,2735.153051,1590.377624,3063701.695,1921160.141,47.71114331,13.93172589,0.463004209,0.083227607,0.512601668,0.108280012
171126_10,1.462487769,0.933201803,1.585484832,1.196916484,2748.349717,1539.324712,3038336.007,1838500.553,47.84249661,14.12225895,0.45447207,0.081046992,0.519724189,0.115873858
171122_12,1.688255647,0.911127568,1.860581723,1.523085695,2772.718872,1771.020981,3153232.924,2218277.344,43.81738068,16.60278408,0.459091393,0.140160487,0.482802622,0.157943249
171120_16,1.743573279,0.99413842,1.836769077,1.657799162,2899.162883,1737.936424,3283434.248,2188512.587,47.0301165,14.27370312,0.432639406,0.110288074,0.498588648,0.146285196
171116_24,1.67135005,0.858579622,1.721606354,1.29590369,2838.077993,1483.478051,3237944.418,1913045.246,48.12394949,14.12179112,0.429502218,0.124445437,0.483097869,0.157174391
171117_3,2.004401954,1.346284519,2.317161439,2.434993293,3335.463707,2676.810197,3958201.729,3360845.587,46.08509839,11.08511201,0.406135393,0.129534195,0.459559361,0.16782843
171118_14,1.688631779,0.873372988,1.705234668,1.339044574,2762.902663,1548.792395,3121353.706,1962702.903,48.18647552,15.26926596,0.446051158,0.120320031,0.499712405,0.146359852
