sample,lat,lon,temp,cond,salinity,turb,chl,pH,P,Nitrate+Nitrite,Ammonia,N,N:P,N*,15N,13C,%N,%C,Level,Level_2,Region,Envi
171116_1,1.238833,78.971,27.4,36421,21.85015926,7.6,,7.62,0.12,0.15,0.64,0.79,6.583333333,-1.13,3.019,-23.573,1.087018208,8.340837461,low,low,Cayapas Mataje,Valdez
171116_2,1.238806,78.96847,27.4,36061,21.6114719,4.3,,7.42,0.08,0.09,0.2,0.29,3.625,-0.99,2.872,-23.422,0.450224639,2.665466006,low,low,Cayapas Mataje,Valdez
171116_3,1.237667,78.96847,27.4,33314,19.80110813,8.2,,7.53,0.11,0.05,0.4,0.45,4.090909091,-1.31,3.764,-24.849,0.415464649,2.588923908,low,low,Cayapas Mataje,Valdez
171116_4,1.239222,78.95897,27.6,33097,19.57594515,3,,7.46,0.22,0.32,0.19,0.51,2.318181818,-3.01,4.662,-24.831,0.379049421,2.389689329,low,low,Cayapas Mataje,Valdez
171116_5,1.240667,78.956,27.6,33421,19.78736381,30.1,,7.55,,,,,,,,,,,low,low,Cayapas Mataje,Valdez
171116_6,1.240556,78.95336,27.5,33108,19.62455405,245.4,,7.48,0.04,0.25,0.53,0.78,19.5,0.14,2.509,-24.334,0.781035706,5.63147231,low,low,Cayapas Mataje,Valdez
171116_7,1.247528,78.92036,27.6,37525,22.4886762,1.9,,7.5,0.08,0.15,0.46,0.61,7.625,-0.67,4.341,-26.074,0.257744148,2.039621792,intermediate,low,Cayapas Mataje,Machetejero 
171116_8,1.248083,78.91989,27.6,37445,22.43561149,1.8,,7.41,0.07,0.06,0.21,0.27,3.857142857,-0.85,1.184,-24.859,0.641759281,3.067312022,intermediate,low,Cayapas Mataje,Machetejero 
171116_9,1.247722,78.91828,27.6,37251,22.30699607,2.1,,7.67,0.1,0.09,0.1,0.19,1.9,-1.41,3.386,-25.077,0.270986049,1.572489869,intermediate,low,Cayapas Mataje,Machetejero 
171116_10,1.247222,78.91633,27.8,37190,22.17269588,2,,7.76,0.07,0.07,0.15,0.22,3.142857143,-0.9,1.794,-24.763,0.316859778,2.084646556,intermediate,low,Cayapas Mataje,Machetejero 
171116_11,1.250111,78.91467,27.7,37315,22.30221552,2.6,,7.78,0.01,0.05,0.32,0.37,37,0.21,3.282,-26.103,0.302435564,2.057631697,intermediate,low,Cayapas Mataje,Machetejero 
171116_12,1.249556,78.91317,28,37040,21.98096883,1.6,,7.75,0.03,0.09,0.23,0.32,10.66666667,-0.16,0.36,-24.89,0.268857886,1.687303017,intermediate,low,Cayapas Mataje,Machetejero 
171116_13,1.235972,78.96858,27.7,40309,24.29374082,33.9,,8.04,0.13,0.07,0.09,0.16,1.230769231,-1.92,4.115,-22.807,0.872546701,7.100405223,low,low,Cayapas Mataje,Valdez
171116_14,1.237361,78.96025,27.6,41173,24.92526409,12.6,,8.08,0.12,0.02,0.19,0.21,1.75,-1.71,1.692,-22.478,1.650508394,5.799189554,low,low,Cayapas Mataje,Valdez
171116_15,1.405917,78.95819,27.8,40950,24.67075641,8.8,,8.23,0.11,0.01,0.15,0.16,1.454545455,-1.6,6.812,-23.065,0.357767794,2.71049077,low,low,Cayapas Mataje,Valdez
171116_16,1.239944,78.95497,27.6,42063,25.52466106,17.8,,8.25,0.11,0.06,0.14,0.2,1.818181818,-1.56,4.314,-23.584,0.559706786,4.451823503,low,low,Cayapas Mataje,Valdez
171116_17,1.241889,78.95492,27.6,40593,24.53568228,20.7,,8.15,0.08,0.02,0.17,0.19,2.375,-1.09,5.2,-23.579,1.159139276,9.411301216,low,low,Cayapas Mataje,Valdez
171116_18,1.247306,78.95578,28.4,39093,23.13897273,54.1,,8.06,0.08,0.01,0.27,0.28,3.5,-1,4.398,-23.342,0.726885789,6.284331382,low,low,Cayapas Mataje,Valdez
171116_19,1.247917,78.92064,27.8,33240,19.58642437,2.8,,7.91,0.03,0.2,0.2,0.4,13.33333333,-0.08,3.839,-26.118,0.267675573,1.842638451,intermediate,low,Cayapas Mataje,Machetejero 
171116_20,1.248056,78.91928,27.8,34629,20.49134685,2.5,,7.97,0.06,0.11,0.22,0.33,5.5,-0.63,6.693,-23.825,0.475999054,2.705988294,intermediate,low,Cayapas Mataje,Machetejero 
171116_21,1.248139,78.91794,27.9,34163,20.14474012,2.1,,7.91,0.17,0.13,0.05,0.18,1.058823529,-2.54,3.173,-25.795,0.331756917,2.161188654,intermediate,low,Cayapas Mataje,Machetejero 
171116_22,1.248944,78.91675,27.9,33998,20.0374105,2.1,,7.96,0.16,0.21,0.23,0.44,2.75,-2.12,2.2,-23.674,0.543863798,2.729626294,intermediate,low,Cayapas Mataje,Machetejero 
171116_23,1.249444,78.91428,27.9,34002,20.0400116,2.2,,7.87,0.12,0.21,0.2,0.41,3.416666667,-1.51,2.959,-25.258,0.256561835,1.601755966,intermediate,low,Cayapas Mataje,Machetejero 
171116_24,1.249583,78.91325,27.9,34608,20.43455221,3,,7.85,0.09,0.17,0.26,0.43,4.777777778,-1.01,3.165,-25.404,0.545755498,3.462404322,intermediate,low,Cayapas Mataje,Machetejero 
171117_1,1.208528,79.01461,26.8,4425,2.265624636,20.5,12.93,6.87,0.26,1.75,0.73,2.48,9.538461538,-1.68,5.079,-26.044,0.686450698,5.129446195,low,low,Cayapas Mataje,CM River
171117_2,1.207528,79.01494,26.8,3681,1.863664497,24.3,19.67,6.53,0.59,0.63,0.47,1.1,1.86440678,-8.34,5.114,-25.525,0.671553559,4.441692931,low,low,Cayapas Mataje,CM River
171117_3,1.205611,79.01561,26.7,2685,1.337960664,31.4,20.42,2.14,0.8,0.06,0.43,0.49,0.6125,-12.31,1.858,-26.566,1.013005439,6.737955876,low,low,Cayapas Mataje,CM River
