	phylum	class	order	family	genus	species	taxon
5	Proteobacteria	Alphaproteobacteria	Rhizobiales	Xanthobacteraceae	Starkeya	Starkeya novella	Starkeya novella DSM 506
61	Proteobacteria	Alphaproteobacteria	Rhizobiales				Rhizobiales
65	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylocella	Methylocella silvestris	Methylocella silvestris BL2
226	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter	Erythrobacter atlanticus	Erythrobacter atlanticus
234	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter	Erythrobacter litoralis	Erythrobacter litoralis HTCC2594
352	Proteobacteria	Alphaproteobacteria			Micavibrio	Micavibrio aeruginosavorus	Micavibrio aeruginosavorus
355	Proteobacteria	Alphaproteobacteria	Parvularculales	Parvularculaceae	Parvularcula	Parvularcula bermudensis	Parvularcula bermudensis HTCC2503
363	Proteobacteria	Alphaproteobacteria	Rhizobiales		Methyloceanibacter		Methyloceanibacter
373	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Hyphomonadaceae			Hyphomonadaceae
415	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Pseudorhodobacter	Pseudorhodobacter sp. S12M18	Pseudorhodobacter sp. S12M18
421	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			Rhodobacteraceae
437	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Celeribacter	Celeribacter indicus	Celeribacter indicus
451	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sagittula	Sagittula sp. P11	Sagittula sp. P11
457	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Salipiger	Salipiger profundus	Salipiger profundus
478	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Sulfitobacter	Sulfitobacter sp. AM1-D1	Sulfitobacter sp. AM1-D1
490	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae			Rhodobacteraceae
493	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria	Ruegeria pomeroyi	Ruegeria pomeroyi DSS-3
502	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Thalassococcus	Thalassococcus sp. SH-1	Thalassococcus sp. SH-1
503	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Thalassococcus	Thalassococcus sp. S3	Thalassococcus sp. S3
